LGA_CODE_2016,P_OthSvs_H_0,P_OthSvs_H_1_15,P_OthSvs_H_16_24,P_OthSvs_H_25_34,P_OthSvs_H_35_39,P_OthSvs_H_40,P_OthSvs_H_41_48,P_OthSvs_H_49_more,P_OthSvs_H_NS,P_OthSvs_H_Tot,P_IDNS_H_0,P_IDNS_H_1_15,P_IDNS_H_16_24,P_IDNS_H_25_34,P_IDNS_H_35_39,P_IDNS_H_40,P_IDNS_H_41_48,P_IDNS_H_49_more,P_IDNS_H_NS,P_IDNS_H_Tot,P_Tot_H_0,P_Tot_H_1_15,P_Tot_H_16_24,P_Tot_H_25_34,P_Tot_H_35_39,P_Tot_H_40,P_Tot_H_41_48,P_Tot_H_49_more,P_Tot_H_NS,P_Tot_H_Tot
LGA47490,3,8,3,4,8,7,4,4,0,43,0,0,3,3,3,5,3,8,14,45,42,117,93,116,117,140,99,223,38,981
LGA47630,5,10,11,13,13,36,29,27,0,143,3,10,15,13,14,17,4,12,34,118,159,357,299,372,616,511,326,706,73,3421
LGA47700,30,178,140,144,184,158,107,127,7,1081,22,90,39,71,84,69,40,67,137,624,684,4191,2782,3247,3782,2467,1620,2200,333,21308
LGA47800,0,6,3,3,8,5,3,16,0,46,5,15,3,3,7,10,6,5,12,58,74,263,193,254,216,248,194,564,42,2037
LGA47910,0,7,3,4,0,3,6,3,0,27,0,0,0,0,3,3,3,3,8,27,33,118,77,92,87,129,63,202,16,817
LGA47980,46,188,156,209,286,176,100,131,18,1297,14,73,45,68,84,85,36,60,103,569,654,2710,2303,2765,3834,2863,1690,2291,260,19370
LGA48050,8,39,18,27,32,31,28,26,0,210,7,24,12,13,8,7,3,7,45,119,205,830,688,790,657,466,287,444,85,4450
LGA48130,3,8,9,5,5,8,0,7,0,51,0,3,4,5,16,11,7,15,27,83,118,312,255,351,546,376,202,513,65,2745
LGA48260,0,18,13,9,19,12,7,5,0,86,3,11,7,3,10,9,3,10,15,64,92,402,335,348,366,276,194,279,35,2332
LGA48340,0,29,13,13,22,18,4,16,0,122,16,15,13,14,19,28,8,19,31,157,271,578,405,581,736,686,421,819,76,4579
LGA48410,67,159,183,232,588,418,277,236,21,2179,43,119,92,123,287,222,106,142,274,1420,1433,4144,3919,5146,10442,7442,4691,5109,630,42959
LGA48540,9,48,30,38,64,28,17,29,0,263,3,17,17,19,35,29,21,22,59,220,322,932,832,937,1432,915,673,1003,145,7180
LGA48640,0,0,0,0,4,4,0,7,0,16,3,0,4,0,0,0,0,3,5,26,24,58,65,81,64,86,41,193,14,636
LGA48750,0,4,10,10,7,3,0,7,0,36,3,9,7,8,0,3,0,3,6,46,70,274,162,196,176,143,79,237,17,1366
LGA48830,3,17,4,20,22,27,12,18,0,128,11,20,8,7,5,18,6,19,37,130,173,529,434,484,388,531,312,775,89,3710
LGA49090,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA49399,3,4,0,5,3,14,10,28,3,67,12,11,4,3,12,24,7,43,37,153,322,222,195,192,561,573,615,2421,105,5200
LGA49499,73,316,149,205,177,214,77,137,18,1372,137,243,123,152,174,183,64,183,265,1522,1811,5455,3686,4687,4523,5944,2625,4868,699,34306
LGA49799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,6,3,3,8,4,5,19,0,64
LGA49898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA50080,18,107,64,76,144,124,59,89,13,696,26,85,45,61,65,87,38,82,113,605,648,2136,1596,2064,2642,2182,1334,1963,245,14812
LGA50210,14,143,69,96,119,116,70,84,5,718,32,97,55,47,101,120,38,80,149,716,629,2920,2169,2449,2922,2773,1394,1979,342,17569
LGA50250,20,28,23,33,48,64,39,155,11,420,102,73,45,42,66,109,56,592,250,1341,2118,1134,953,1064,1501,1771,1795,15783,594,26712
LGA50280,11,37,28,20,31,41,11,21,4,211,21,30,26,28,33,33,23,26,38,255,279,958,727,865,818,842,433,796,118,5832
LGA50350,9,25,29,19,54,68,28,38,4,275,11,40,22,19,79,73,33,47,46,367,141,583,506,605,1280,1198,692,814,114,5926
