LGA_CODE_2016,P_OthSvs_H_0,P_OthSvs_H_1_15,P_OthSvs_H_16_24,P_OthSvs_H_25_34,P_OthSvs_H_35_39,P_OthSvs_H_40,P_OthSvs_H_41_48,P_OthSvs_H_49_more,P_OthSvs_H_NS,P_OthSvs_H_Tot,P_IDNS_H_0,P_IDNS_H_1_15,P_IDNS_H_16_24,P_IDNS_H_25_34,P_IDNS_H_35_39,P_IDNS_H_40,P_IDNS_H_41_48,P_IDNS_H_49_more,P_IDNS_H_NS,P_IDNS_H_Tot,P_Tot_H_0,P_Tot_H_1_15,P_Tot_H_16_24,P_Tot_H_25_34,P_Tot_H_35_39,P_Tot_H_40,P_Tot_H_41_48,P_Tot_H_49_more,P_Tot_H_NS,P_Tot_H_Tot
LGA25490,3,23,8,16,25,36,18,23,6,150,8,22,13,26,39,51,24,41,62,278,236,666,526,598,801,946,522,1411,139,5851
LGA25620,3,19,15,18,21,12,6,24,3,114,13,26,16,16,20,35,17,20,37,194,193,602,480,566,562,660,318,619,92,4096
LGA25710,21,144,71,104,110,101,48,75,8,697,21,87,75,60,54,95,25,71,110,594,392,2806,1825,1808,1676,2068,877,1603,251,13305
LGA25810,3,22,22,14,22,28,9,23,3,143,10,16,16,15,21,20,15,14,46,172,220,628,513,627,761,813,405,781,116,4868
LGA25900,61,288,298,326,590,615,313,440,15,2942,99,292,308,252,522,801,286,535,616,3706,1970,5986,6740,6636,13354,18240,8428,13226,1255,75840
LGA25990,0,7,3,3,3,8,13,9,0,48,11,10,3,4,9,18,0,10,27,91,112,249,220,231,235,331,154,433,52,2005
LGA26080,0,9,6,3,11,4,3,4,0,43,3,3,3,6,0,4,0,3,10,25,84,252,175,167,193,164,84,135,22,1279
LGA26170,10,46,33,36,67,74,32,62,9,362,20,57,41,36,67,58,19,43,102,447,465,1575,1228,1313,1406,1503,911,1934,238,10577
LGA26260,9,32,16,26,48,57,26,36,3,258,13,10,13,15,35,23,11,29,61,222,304,937,821,907,1042,1146,624,1204,144,7137
LGA26350,36,361,307,300,502,342,206,216,31,2308,59,290,233,187,282,403,147,323,446,2377,1517,8195,7126,6654,8962,9442,4846,7381,942,55061
LGA26430,7,13,8,11,17,14,8,15,0,86,6,12,15,14,14,28,7,21,41,155,146,499,367,455,556,536,278,594,108,3533
LGA26490,5,64,43,48,51,54,16,44,5,331,16,64,37,34,34,49,24,35,69,358,342,1764,1178,1152,1142,1382,599,1198,177,8932
LGA26610,12,40,28,26,75,54,29,50,3,318,27,40,30,35,48,68,29,51,99,422,381,1054,781,981,1624,1657,786,1346,241,8852
LGA26670,0,5,10,10,12,19,6,15,0,82,10,15,3,6,6,6,3,7,18,77,90,284,205,265,214,290,136,492,52,2015
LGA26700,11,46,39,40,81,110,29,64,4,409,24,70,36,41,58,65,23,52,105,478,475,1466,1231,1484,1928,1907,965,1666,256,11383
LGA26730,19,104,56,62,117,123,44,72,8,595,15,37,35,29,95,75,29,49,99,467,525,1883,1366,1614,2497,2185,1104,1582,237,13000
LGA26810,22,83,51,78,94,113,48,84,11,584,34,63,46,67,88,99,40,112,162,706,726,2200,1678,1837,2524,2718,1517,3378,357,16934
LGA26890,4,5,4,3,7,3,3,11,0,36,3,4,0,0,3,6,0,8,13,46,73,180,145,195,157,270,115,507,37,1677
LGA26980,93,422,405,438,838,684,391,463,38,3764,86,345,239,235,535,560,162,301,622,3090,2154,9760,8301,8499,13698,12666,5824,7828,1169,69914
LGA27070,43,321,197,213,392,405,165,255,30,2023,91,338,230,258,643,588,203,312,601,3262,1711,7585,6113,6377,10979,9993,4557,6531,1202,55053
LGA27170,17,70,55,80,176,155,102,96,12,766,27,71,48,43,112,123,41,81,163,709,706,1852,1780,2209,3569,3416,1925,2461,340,18245
LGA27260,44,292,203,183,400,387,146,250,25,1924,91,299,278,281,681,684,215,352,670,3544,1799,7413,6249,6536,13525,11886,5582,8305,1404,62691
LGA27350,61,247,256,270,549,502,240,318,41,2486,97,295,308,292,593,754,264,539,671,3814,2299,7242,8118,8578,15555,17299,8515,12125,1400,81129
LGA27450,63,298,205,199,281,297,161,240,19,1759,81,254,146,169,304,302,122,215,345,1940,1468,7236,4850,4927,6329,5866,3216,5003,750,39636
LGA27630,4,12,9,6,8,23,14,9,0,85,5,8,7,10,16,20,4,7,24,96,105,290,283,320,288,476,202,520,69,2560
LGA29090,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA29399,0,0,3,3,0,0,3,3,0,8,3,6,3,8,15,12,9,14,29,95,34,130,143,285,340,296,340,536,49,2161
LGA29499,176,872,489,558,481,708,281,528,49,4134,487,873,597,557,838,1141,311,727,1315,6842,5166,16553,12058,13727,15286,26497,9591,17030,3122,119037
LGA29799,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4,8,3,17,22,8,9,3,11,15,13,76,9,155
LGA29898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA30250,0,3,5,5,7,8,0,3,0,33,0,0,0,5,0,0,0,0,3,11,14,16,13,36,81,53,6,57,7,286
LGA30300,3,3,7,11,16,19,8,14,0,83,0,6,4,8,13,12,3,21,16,90,70,201,163,237,269,323,152,647,51,2108
LGA30370,4,23,23,28,39,28,21,40,7,207,3,20,13,17,31,28,11,44,41,214,206,552,498,582,764,792,621,1709,116,5843
LGA30410,0,3,3,4,7,9,3,7,0,36,0,3,4,3,4,11,3,21,16,67,47,101,71,143,190,254,114,493,45,1455
LGA30450,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,6,14,6,8,15,21,58,25,122,4,284
LGA30760,0,3,0,3,0,3,0,5,0,14,3,0,3,0,5,0,3,6,3,30,38,66,62,97,101,131,56,285,21,858
LGA30900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,7,3,11,26,18,8,43,3,122
LGA31000,614,2743,2423,2994,5830,4860,2712,3471,233,25888,693,2422,2045,2153,5030,5242,1832,3525,5191,28128,23407,68396,65304,74548,153471,142563,73347,108865,11071,720965
LGA31750,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,4,6,11,15,3,5,16,29,14,68,8,165
LGA31820,27,151,116,139,275,193,117,167,20,1214,57,134,97,106,210,163,85,143,307,1311,997,3764,3109,4544,6109,4560,2714,4787,663,31246
LGA31900,9,27,19,32,51,62,34,57,3,287,13,32,14,8,29,47,28,40,81,299,235,793,612,801,1214,1246,733,1577,182,7388
LGA31950,3,3,8,7,14,7,4,5,5,51,0,3,0,0,0,3,0,6,8,18,15,47,23,39,110,55,33,72,22,428
LGA32080,59,296,278,339,660,550,294,437,31,2941,94,254,180,214,364,406,166,334,600,2602,2249,6672,6078,9321,14610,11506,6345,9444,1242,67472
LGA32250,0,3,0,3,9,3,0,4,0,21,0,6,0,6,6,0,0,12,13,43,32,49,27,75,141,131,90,282,33,867
LGA32260,13,52,39,55,94,72,41,61,5,429,18,50,55,70,85,77,36,54,123,566,378,1156,1162,1588,2233,1826,962,1948,293,11533
LGA32270,12,71,44,50,78,81,70,156,9,585,23,44,31,53,55,54,40,82,142,517,755,1374,1072,1318,1980,1859,1877,5376,354,15965
LGA32310,3,33,12,19,24,25,15,31,0,163,7,8,8,22,25,25,15,25,36,169,186,422,353,493,645,611,349,1092,109,4251
LGA32330,0,8,0,0,7,4,0,0,0,19,0,0,0,3,0,0,0,0,4,12,16,47,42,56,113,59,17,43,7,405
LGA32450,0,4,0,3,3,9,5,19,0,50,3,9,3,12,7,10,7,25,28,98,157,100,88,115,204,289,342,1540,60,2900
LGA32500,3,5,8,20,28,24,5,22,3,119,9,7,3,6,13,13,9,30,32,120,101,142,155,286,453,372,479,716,67,2775
LGA32600,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,4,3,3,23,10,14,15,20,16,74,11,184
LGA32750,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,4,7,9,11,15,19,29,45,28,119,4,281
LGA32770,0,9,3,3,10,7,0,0,3,33,0,0,0,0,0,0,0,0,7,15,17,41,15,30,69,54,26,82,22,361
LGA32810,4,17,16,24,30,36,18,38,3,191,13,26,19,29,43,34,17,43,48,264,171,503,527,838,957,853,558,1061,142,5607
LGA33100,0,0,0,0,3,0,0,0,0,4,0,5,0,0,0,0,0,3,0,8,18,22,13,23,34,45,14,130,9,310
LGA33200,0,3,0,0,3,3,0,0,0,24,0,3,3,0,7,3,0,3,19,32,23,62,49,62,96,139,44,294,32,797
LGA33220,40,197,128,181,265,186,89,146,17,1238,61,141,92,124,190,136,45,140,272,1197,1046,3880,3106,4424,6076,4021,2184,3815,572,29137
LGA33360,26,135,84,97,200,135,101,152,14,938,44,83,76,75,130,150,77,182,206,1017,1021,2541,2032,2593,3995,3786,3008,6019,470,25466
LGA33430,216,1241,1023,1264,1689,1622,866,1277,111,9307,308,1190,937,1136,1947,2152,773,1628,2064,12124,6854,28707,25293,32815,46020,40544,20590,35521,4347,240694
LGA33610,5,19,10,14,39,44,23,33,0,189,8,6,5,8,21,37,17,39,49,202,172,429,398,512,629,742,439,1331,100,4757
LGA33620,21,90,75,88,141,100,60,116,9,691,38,80,55,84,99,87,37,114,182,780,601,2058,1673,2385,2663,2032,1231,2742,340,15725
LGA33800,0,13,16,16,30,34,15,29,4,157,13,19,8,14,18,25,11,31,38,176,141,499,388,538,734,657,387,857,109,4308
LGA33830,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,3,6,7,5,12,8,4,15,4,63
LGA33960,54,299,220,258,380,266,167,226,23,1893,83,196,157,210,509,469,180,336,510,2645,2100,6897,5761,8037,13314,10823,6061,8643,1146,62777
LGA33980,10,48,31,32,48,37,33,91,5,336,20,30,15,27,46,53,16,79,122,413,755,884,802,1023,1404,1435,1744,5968,318,14328
LGA34420,0,5,0,0,0,3,3,3,0,16,0,0,0,0,0,0,0,0,3,7,4,25,21,31,48,61,19,38,7,261
LGA34530,10,58,37,53,65,61,30,61,6,385,18,39,24,30,45,44,10,48,78,333,308,1274,878,1183,1710,1193,694,1450,181,8866
LGA34570,0,6,3,5,8,0,0,4,5,31,0,0,0,3,0,3,0,0,3,16,26,36,18,51,38,49,166,132,28,544
LGA34580,9,47,39,33,63,53,25,47,7,328,18,56,25,44,80,65,24,54,102,480,379,1445,1068,1518,1937,1570,972,2023,267,11183
LGA34590,76,503,368,470,728,696,375,534,49,3805,132,407,336,403,917,875,295,590,861,4824,2715,10294,8788,11537,18281,15224,7834,12531,1796,88994
LGA34710,6,6,0,7,19,14,14,11,0,75,3,6,0,11,17,10,7,6,31,92,102,132,106,186,341,340,207,452,51,1920
LGA34770,60,240,181,216,537,371,290,499,27,2428,80,166,125,131,359,270,130,277,399,1940,1640,4813,4025,5266,8889,7016,4693,8369,905,45605
LGA34800,0,0,3,0,0,0,0,6,0,5,0,0,3,0,0,3,0,8,9,28,71,27,25,33,57,91,90,807,34,1226
LGA34830,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,4,0,3,32,8,48,29,3,128
LGA34860,3,22,9,18,34,41,28,50,3,211,15,39,10,23,39,53,21,67,70,332,367,543,412,554,1020,1084,585,2321,151,7036
LGA34880,3,26,25,32,51,38,22,47,3,258,16,29,21,24,36,38,23,39,75,308,264,825,641,975,1453,1042,626,1354,170,7361
