LGA_CODE_2016,P_75ov_EWFT,P_75ov_EWPT,P_75ov_EAFW,P_75ov_EHW_NS,P_75ov_Tot,P_Tot_EWFT,P_Tot_EWPT,P_Tot_EAFW,P_Tot_EHW_NS,P_Tot_Tot
LGA57840,17,42,9,3,66,6873,5421,424,198,12914
LGA57910,82,277,20,22,405,44585,27312,2293,1189,75381
LGA57980,30,86,4,7,130,16702,9551,1137,405,27793
LGA58050,52,115,14,10,186,35884,17747,1819,923,56371
LGA58190,3,0,0,0,3,103,54,5,3,170
LGA58260,0,0,0,0,0,76,31,8,0,119
LGA58330,7,12,0,0,18,415,376,46,17,858
LGA58400,3,0,0,0,3,96,44,9,3,154
LGA58470,0,0,0,0,0,25,19,0,0,40
LGA58510,26,48,7,0,79,17487,9075,884,463,27910
LGA58540,4,4,0,0,12,327,120,20,3,475
LGA58570,24,68,3,4,92,12679,7200,668,305,20856
LGA58610,3,4,0,3,13,405,241,35,13,688
LGA58680,3,4,0,0,12,112,34,12,0,157
LGA58760,37,91,12,8,142,25709,16283,1346,769,44105
LGA58820,14,3,0,3,17,1583,376,123,36,2111
LGA58890,12,6,4,0,24,233,130,12,5,380
LGA59030,0,3,0,0,6,238,24,11,7,290
LGA59090,0,0,0,0,0,0,0,0,0,0
LGA59100,3,3,0,0,9,179,97,15,8,296
LGA59170,3,7,0,0,16,293,135,21,8,456
LGA59250,0,0,0,0,0,630,74,69,9,787
LGA59310,8,7,0,0,14,442,200,25,16,688
LGA59320,0,0,0,0,3,116,45,27,4,190
LGA59330,5,10,0,0,9,122,73,9,4,212
LGA59340,8,3,0,0,14,2106,515,191,59,2867
LGA59350,0,4,0,0,3,365,70,45,8,495
LGA59360,5,7,0,0,12,1005,173,80,36,1290
LGA59370,3,13,0,0,14,539,438,36,18,1029
LGA59499,51,125,37,22,229,30815,18821,3494,1251,54378
LGA59799,4,0,0,0,4,1315,74,169,31,1595
LGA59898,0,0,0,0,0,0,0,0,0,0
LGA60210,8,8,3,0,17,778,793,92,33,1700
LGA60410,4,6,3,3,12,1677,956,120,46,2792
LGA60610,10,31,0,9,47,5950,3770,404,173,10298
LGA60810,13,34,0,6,55,2969,2318,256,110,5661
LGA61010,4,10,0,0,15,423,198,35,28,681
LGA61210,12,17,4,5,41,2192,1178,171,69,3604
LGA61410,13,57,0,12,88,8448,6127,614,220,15404
LGA61510,5,9,0,3,22,1270,882,100,61,2314
LGA61610,9,34,3,8,57,6427,4414,574,205,11619
LGA61810,8,16,3,0,29,1101,743,89,43,1974
LGA62010,3,7,0,0,11,188,139,14,15,357
LGA62210,10,7,3,3,22,1614,708,98,54,2474
LGA62410,5,14,0,3,24,723,616,90,42,1462
LGA62610,19,44,5,12,79,11481,6248,653,365,18742
LGA62810,43,127,8,19,204,29498,18989,2200,652,51337
LGA63010,13,22,3,4,43,2233,1770,154,100,4258
LGA63210,12,13,0,0,24,719,511,82,25,1341
LGA63410,6,10,0,0,19,480,221,54,12,766
LGA63610,7,42,3,4,60,4226,3907,331,137,8594
LGA63810,12,16,0,4,31,1798,1370,165,64,3403
LGA64010,27,105,9,10,153,18714,12687,1323,539,33266
LGA64210,31,29,0,0,55,3025,2123,244,104,5503
LGA64610,17,32,6,5,64,2967,1575,177,79,4797
LGA64810,7,12,0,0,24,1173,1196,115,42,2533
LGA65010,7,14,3,0,25,601,417,40,23,1090
LGA65210,4,3,0,0,12,308,340,41,16,704
LGA65410,10,13,0,3,26,2166,1406,163,80,3819
LGA65610,3,0,0,3,11,1232,512,107,53,1907
LGA65810,5,21,3,0,33,1791,1713,198,67,3769
LGA69090,0,0,0,0,0,0,0,0,0,0
LGA69499,12,28,4,7,54,4823,3544,518,250,9132
LGA69799,0,0,0,0,0,43,10,5,0,55
LGA69898,0,0,0,0,0,0,0,0,0,0
LGA70200,15,24,3,0,43,8656,2520,486,222,11881
LGA70420,9,0,0,0,6,1467,388,84,69,2006
LGA70540,0,0,0,0,0,16,6,0,3,29
LGA70620,4,0,0,0,4,840,250,98,27,1215
LGA70700,3,3,0,0,7,441,123,21,22,607
LGA71000,54,68,7,7,142,32907,10200,1849,1001,45963
LGA71300,4,3,0,3,7,1964,659,171,142,2933
LGA72200,12,5,0,0,22,3341,765,190,78,4376
LGA72300,14,9,3,0,34,12530,1875,905,345,15659
LGA72330,5,3,0,0,10,1784,415,133,90,2422
LGA72800,4,8,0,0,18,4898,2054,291,155,7396
LGA73600,0,3,0,3,6,1004,332,62,143,1539
LGA74050,0,0,0,0,5,301,215,17,38,567
LGA74550,0,3,0,0,6,464,167,16,33,678
LGA74560,0,0,0,0,0,25,21,5,3,46
LGA74660,0,0,0,3,8,1054,264,73,110,1505
LGA74680,0,0,0,0,3,452,116,25,23,620
LGA79090,0,0,0,0,0,0,0,0,0,0
LGA79399,8,6,0,0,9,5187,894,321,126,6534
LGA79499,10,3,4,0,20,2411,819,334,109,3674
LGA79799,0,0,0,0,0,74,6,9,3,91
LGA79898,0,0,0,0,0,0,0,0,0,0
LGA89090,0,0,0,0,0,0,0,0,0,0
LGA89399,168,395,46,54,665,148727,59241,9400,3273,220639
LGA89499,9,20,4,4,32,4093,2246,317,157,6817
LGA89799,0,0,0,0,0,0,0,0,0,0
LGA89898,0,0,0,0,0,0,0,0,0,0
LGA99090,0,0,0,0,0,0,0,0,0,0
LGA99399,8,17,0,3,35,1801,645,168,75,2692
LGA99499,0,0,0,0,0,56,24,31,6,118
LGA99799,0,0,0,0,0,0,0,0,0,0
LGA99898,0,0,0,0,0,0,0,0,0,0
