LGA_CODE_2016,P_40_44_OM_UIE,P_40_44_CFW,P_40_44_ES_NS,P_40_44_Total,P_45_49_E,P_45_49_OM_IE,P_45_49_OM_UIE,P_45_49_CFW,P_45_49_ES_NS,P_45_49_Total,P_50_54_E,P_50_54_OM_IE,P_50_54_OM_UIE,P_50_54_CFW,P_50_54_ES_NS,P_50_54_Total,P_55_59_E,P_55_59_OM_IE,P_55_59_OM_UIE,P_55_59_CFW,P_55_59_ES_NS,P_55_59_Total,P_60_64_E,P_60_64_OM_IE,P_60_64_OM_UIE,P_60_64_CFW,P_60_64_ES_NS,P_60_64_Total,P_65_69_E,P_65_69_OM_IE,P_65_69_OM_UIE,P_65_69_CFW,P_65_69_ES_NS,P_65_69_Total,P_70_74_E,P_70_74_OM_IE,P_70_74_OM_UIE,P_70_74_CFW,P_70_74_ES_NS,P_70_74_Total,P_75ov_E,P_75ov_OM_IE,P_75ov_OM_UIE,P_75ov_CFW,P_75ov_ES_NS,P_75ov_Total,P_Total_E,P_Total_OM_IE,P_Total_OM_UIE,P_Total_CFW,P_Total_ES_NS,P_Total_Total
LGA17420,590,135,40,7960,5826,947,566,92,56,7482,5138,966,562,103,57,6835,4248,740,503,101,58,5652,2711,583,395,91,38,3824,1157,416,298,64,36,1965,324,169,124,60,15,684,121,67,67,59,11,334,56170,6381,4325,944,540,68355
LGA17550,390,72,32,2947,2383,278,405,64,34,3164,2423,294,430,68,33,3249,2413,276,454,76,44,3270,1580,191,348,67,34,2227,550,117,222,65,20,974,140,60,73,45,18,331,66,12,76,44,16,221,20806,2017,3172,647,360,26997
LGA17620,61,19,12,525,374,48,71,17,3,507,382,47,65,27,9,533,355,41,70,39,7,506,264,38,70,36,8,424,101,20,53,33,8,208,26,7,41,16,3,103,13,9,29,42,11,108,3771,307,596,269,74,5018
LGA17640,33,14,3,151,104,21,42,6,0,174,129,21,41,21,3,216,120,18,57,31,3,232,76,13,50,28,3,165,40,11,48,43,4,144,9,6,25,22,3,64,4,9,19,23,7,60,1050,138,387,210,31,1807
LGA17650,18,18,0,109,82,8,40,9,4,139,84,14,37,14,0,151,73,10,35,18,0,143,48,14,39,15,0,117,19,7,30,10,3,68,10,6,23,6,0,42,4,3,11,17,0,38,708,89,284,115,23,1227
LGA17750,224,30,29,3093,2583,205,223,34,26,3069,2401,219,261,59,29,2958,2253,188,273,46,22,2782,1424,154,222,64,36,1890,503,86,153,59,17,823,141,24,68,47,17,295,51,9,58,61,14,197,26270,1497,2047,503,316,30629
LGA17850,34,11,0,130,81,8,34,11,0,137,98,20,35,17,3,172,80,11,41,18,4,158,49,12,53,21,3,137,35,9,37,33,3,117,9,7,22,21,0,62,5,3,4,22,0,42,772,88,311,168,25,1372
LGA17900,24,10,3,183,160,12,30,22,6,228,154,9,30,22,14,228,142,21,40,37,3,237,106,13,38,30,13,190,48,4,28,28,8,114,24,8,18,23,0,71,6,7,7,11,0,40,1460,108,260,213,65,2102
LGA17950,15,8,3,106,74,18,12,11,0,115,80,11,23,7,3,130,77,11,29,16,0,134,42,4,21,5,3,78,35,3,15,8,0,61,10,3,12,4,0,30,3,5,15,11,0,36,722,82,187,82,20,1091
LGA18020,48,23,3,279,240,19,51,19,9,340,244,29,87,26,4,391,223,29,84,34,9,372,178,22,72,40,9,313,63,14,61,34,6,181,21,7,27,42,0,99,9,5,32,42,4,101,1931,166,563,298,61,3015
LGA18050,344,52,16,2379,1320,420,382,44,25,2198,1160,367,304,31,22,1886,971,241,274,29,17,1539,682,181,199,27,17,1107,431,152,165,21,15,795,139,80,80,13,13,326,85,42,40,11,8,193,18347,2700,2759,339,220,24359
LGA18100,34,3,3,123,75,8,22,13,6,129,80,7,39,13,4,150,73,3,56,15,7,159,46,8,57,24,3,141,30,13,42,17,0,96,11,4,16,15,0,45,9,3,19,11,0,40,665,84,340,122,29,1243
LGA18200,34,8,3,292,216,29,35,13,8,300,267,25,38,19,8,356,246,31,41,21,7,349,187,17,43,19,4,278,61,18,17,33,0,125,14,3,14,10,0,42,3,7,9,14,3,35,2059,181,291,165,48,2744
LGA18230,171,29,27,2202,1896,177,196,39,21,2332,1823,179,217,40,32,2289,1714,140,238,59,34,2182,1077,106,207,42,23,1453,420,74,148,49,30,723,117,40,70,47,11,280,68,19,61,46,18,208,18012,1179,1780,448,293,21715
LGA18250,306,65,27,6683,4888,613,347,66,30,5947,4457,626,367,71,40,5555,3629,575,332,42,39,4611,2307,383,258,52,33,3027,1082,290,190,38,22,1613,349,121,79,31,9,591,135,66,61,15,10,295,51596,4241,2708,522,398,59466
LGA18350,277,44,26,1800,1442,253,273,47,15,2029,1461,260,296,46,26,2094,1328,247,267,55,21,1923,888,208,237,61,17,1405,437,159,191,58,20,862,160,88,107,54,17,420,63,63,73,52,12,253,13203,1750,2190,494,238,17876
LGA18400,149,35,21,1312,876,180,159,22,14,1250,798,164,154,36,13,1163,766,133,146,34,15,1102,446,97,103,33,18,703,139,63,78,27,7,320,42,23,31,15,3,114,20,13,18,17,4,76,8271,1175,1181,290,159,11076
LGA18450,771,72,72,8909,7279,658,640,91,77,8743,7379,658,681,105,74,8893,6437,516,575,87,72,7690,3619,387,405,77,52,4544,1220,231,261,65,31,1806,319,95,99,46,18,574,110,38,51,46,23,280,67103,4461,5059,806,711,78143
LGA18500,248,50,15,1949,1074,410,293,61,28,1857,1034,367,283,58,8,1747,893,329,253,48,14,1530,693,279,242,36,17,1267,409,234,190,54,12,895,174,126,108,43,14,459,71,116,71,52,10,320,14294,2794,2323,488,197,20092
LGA18710,62,13,5,363,237,41,64,10,5,357,256,53,65,13,9,391,215,39,71,24,8,358,141,35,67,37,0,279,76,27,47,36,5,188,16,13,30,30,3,91,13,6,25,26,6,67,2305,324,530,210,51,3423
LGA19090,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA19399,8,3,0,78,46,9,18,9,0,79,41,16,21,13,3,91,45,10,23,13,4,91,39,11,20,8,3,80,25,6,10,8,3,55,5,3,10,3,0,20,0,7,4,5,0,10,526,79,159,72,13,846
LGA19499,5354,207,280,16018,7582,2499,5540,232,287,16145,7353,2382,5983,217,285,16220,6535,1911,5248,206,269,14163,4221,1239,3818,184,211,9671,1837,610,1713,152,102,4419,643,172,537,95,61,1508,209,84,226,89,75,688,79641,17188,41955,1991,2587,143362
LGA19799,0,0,3,9,9,0,0,0,0,11,6,0,4,0,3,14,3,0,0,0,0,10,3,0,4,0,0,9,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,65,7,16,0,3,90
LGA19898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA20110,72,22,8,516,380,72,74,19,11,559,428,74,72,21,10,606,399,76,96,31,14,622,280,52,80,29,4,441,110,25,53,28,7,226,17,13,22,19,5,77,6,6,12,33,7,63,3276,436,589,233,88,4617
LGA20260,33,17,12,460,478,38,40,22,14,587,451,42,47,10,5,563,404,48,69,29,0,541,302,36,56,47,5,440,98,29,44,35,5,219,26,17,15,22,0,80,18,13,27,19,0,83,3852,308,412,232,61,4865
LGA20570,309,53,48,4916,4178,409,287,60,35,4964,4139,414,335,70,58,5011,3647,373,324,69,53,4468,2350,242,273,70,45,2979,829,134,153,71,28,1218,193,55,55,34,23,358,83,40,33,27,15,203,39214,2649,2497,619,510,45492
LGA20660,406,40,35,4372,3681,467,390,53,51,4643,3379,470,336,69,37,4288,3161,415,349,51,25,4003,2166,313,274,49,40,2838,837,193,192,50,22,1287,188,95,89,36,13,431,79,49,41,26,9,206,33779,3173,2913,511,383,40759
LGA20740,155,25,23,1063,835,132,174,33,23,1192,810,117,173,34,13,1147,877,117,153,43,13,1200,566,88,159,50,30,888,191,63,114,38,7,420,66,18,55,32,6,182,32,21,46,29,11,131,7455,813,1320,337,181,10097
LGA20830,161,44,18,1626,1340,170,219,47,29,1809,1267,178,204,59,25,1733,1108,153,229,55,22,1575,734,139,215,58,19,1174,268,82,135,71,14,571,82,46,96,45,12,281,49,24,72,45,6,196,12611,1259,1765,518,244,16390
LGA20910,405,66,30,3084,2281,613,444,77,28,3448,2183,596,445,62,26,3315,1731,550,418,66,26,2788,1139,424,311,71,22,1968,637,276,231,46,11,1202,181,137,103,48,12,486,67,66,56,47,15,247,21623,3810,3220,613,270,29534
LGA21010,41,7,4,466,439,48,48,8,5,555,481,59,63,12,9,620,480,56,79,27,8,649,311,55,81,38,3,484,124,29,77,28,10,257,31,5,26,25,4,86,16,5,23,23,4,70,3834,347,539,186,80,4981
LGA21110,566,159,48,7766,5877,1134,629,170,64,7873,5220,1078,658,122,54,7136,4559,929,584,107,51,6234,3080,660,484,103,34,4356,1497,487,393,99,31,2506,496,234,193,71,26,1010,180,132,121,52,17,510,58413,6942,5065,1152,528,72106
LGA21180,442,106,73,7744,6381,677,453,93,100,7703,5699,613,442,80,82,6911,4881,552,376,85,73,5969,2881,353,247,64,55,3596,1021,198,143,39,30,1434,243,78,39,30,11,400,97,35,21,13,15,181,56772,4422,3325,789,801,66102
LGA21270,20,16,4,225,183,34,37,28,0,280,177,48,30,28,3,290,197,53,47,42,9,344,132,42,35,40,9,252,43,16,37,33,5,141,10,9,11,15,0,47,8,5,14,22,3,48,1488,277,272,264,34,2345
LGA21370,179,44,20,1641,1309,204,176,53,25,1769,1335,208,227,69,33,1879,1286,201,228,84,28,1820,850,105,224,71,24,1279,310,58,126,60,19,568,75,25,67,43,7,229,42,15,52,61,11,179,11723,1169,1599,585,265,15338
LGA21450,285,49,29,2479,1955,351,266,61,30,2658,1612,316,276,69,27,2297,1393,302,250,61,27,2029,875,192,225,46,21,1363,325,107,135,33,21,622,106,50,69,39,7,270,30,26,52,54,11,177,18165,2287,2269,561,291,23576
LGA21610,729,132,69,6899,5423,800,752,136,69,7174,4675,798,606,125,69,6262,3826,662,567,118,65,5233,2496,374,433,104,49,3449,864,210,212,56,37,1378,252,77,101,39,15,482,79,30,56,40,27,232,49942,5292,5530,1128,676,62565
LGA21670,40,7,8,418,405,35,41,9,5,500,440,34,41,10,4,521,360,28,69,10,7,474,264,27,63,17,8,380,85,14,34,14,3,162,23,12,13,5,0,53,17,3,15,9,0,45,3332,212,376,106,75,4102
LGA21750,85,19,12,893,764,78,105,19,15,976,764,77,143,41,14,1031,703,90,130,32,21,963,466,59,121,25,12,683,163,49,91,44,19,362,50,16,52,30,3,146,23,9,41,22,8,106,7289,562,984,289,144,9265
LGA21830,105,24,12,669,525,81,135,38,12,789,547,68,160,45,18,835,473,68,161,41,13,750,295,63,113,44,11,533,121,42,87,34,10,290,33,20,66,37,8,164,7,3,38,28,8,87,4718,508,1062,355,126,6758
LGA21890,549,60,51,5336,4335,570,554,98,63,5618,3901,541,427,58,51,4978,3422,453,387,67,47,4364,2224,264,275,39,46,2855,801,167,145,43,37,1194,208,70,60,36,11,387,85,36,40,21,11,197,40801,3572,3839,648,558,49419
LGA22110,149,27,30,1474,1375,149,183,34,25,1765,1442,152,215,60,34,1901,1414,174,273,71,29,1978,991,149,256,94,34,1519,377,90,171,97,21,763,112,37,98,59,11,306,42,18,76,67,21,230,11970,1058,1778,583,300,15681
LGA22170,392,77,42,4375,3586,589,435,80,51,4738,3363,534,414,74,33,4416,2830,489,372,64,48,3812,1853,344,316,72,37,2616,714,198,180,55,31,1175,173,86,59,27,17,366,84,42,35,14,10,182,32857,3568,3222,653,415,40714
LGA22250,44,14,8,394,325,67,60,11,5,471,340,69,64,19,3,495,305,49,93,17,12,469,244,50,58,25,9,388,107,32,41,26,5,222,25,14,27,16,10,89,7,7,16,28,4,69,2924,406,496,209,78,4106
LGA22310,501,86,25,4106,2915,604,560,79,36,4195,2645,547,489,71,18,3775,2315,466,461,79,35,3356,1677,380,391,62,23,2534,773,276,250,55,25,1380,266,122,113,28,10,541,119,64,62,26,17,288,29146,3900,3953,662,315,37975
LGA22410,60,25,8,727,643,68,92,27,9,838,756,72,115,30,7,973,591,56,135,40,13,834,400,37,131,49,12,624,154,35,73,44,11,323,35,10,58,25,6,133,10,16,42,34,5,113,5692,422,830,318,108,7374
LGA22490,55,25,0,377,250,65,64,24,11,418,212,57,62,20,11,360,175,44,67,19,3,305,155,29,69,16,5,271,53,25,52,35,3,173,6,11,37,23,0,81,4,4,21,24,0,53,2213,406,536,218,57,3421
LGA22620,307,47,29,4699,4032,420,325,67,61,4907,4037,379,383,65,52,4917,3711,325,397,73,43,4546,2386,265,296,77,43,3064,755,172,189,87,21,1221,179,57,81,59,18,385,102,41,48,41,18,241,38424,2627,2807,677,500,45035
LGA22670,516,99,126,11824,10399,932,524,114,91,12059,9951,896,525,106,99,11573,8121,702,450,77,89,9432,5133,538,355,68,58,6157,1891,332,157,45,49,2477,470,158,62,30,22,736,138,55,39,38,31,294,86281,5892,3850,900,986,97913
LGA22750,728,140,84,10703,8800,858,759,139,100,10654,8522,808,681,124,103,10240,7541,767,727,137,96,9268,4816,580,598,147,62,6207,1600,363,362,93,39,2456,457,129,131,66,19,809,171,78,79,61,30,417,81684,5835,5975,1230,911,95635
LGA22830,200,56,38,3022,2526,308,230,55,43,3170,2486,310,238,58,26,3119,2162,300,236,80,41,2817,1512,217,196,68,38,2036,548,108,146,72,21,893,127,52,57,40,8,285,72,44,49,35,20,225,23044,2019,1839,617,352,27867
LGA22910,98,22,7,519,352,55,92,10,7,520,405,53,98,22,7,581,363,65,115,20,15,580,254,62,102,44,10,476,82,42,68,38,4,228,7,18,34,26,3,88,15,4,13,16,4,56,3202,410,759,227,82,4688
LGA22980,24,11,3,200,163,34,33,11,0,240,165,25,51,21,6,276,204,20,47,31,0,311,126,12,37,30,3,205,28,5,26,19,0,84,14,14,20,24,0,67,9,3,18,17,0,48,1470,162,320,189,26,2171
LGA23110,288,46,34,4204,3550,383,316,47,33,4330,3338,377,276,54,41,4083,2836,278,259,53,32,3459,1837,200,172,26,30,2269,567,99,90,16,12,795,152,53,37,13,9,262,48,18,13,12,13,101,29856,2387,2186,411,365,35197
LGA23190,92,21,6,907,726,96,81,31,9,946,812,97,80,30,18,1030,783,94,89,57,9,1031,481,69,75,27,12,668,185,26,54,25,3,302,45,15,26,21,0,111,22,13,28,27,3,90,7319,608,678,282,104,8991
LGA23270,517,112,114,10672,9209,869,569,111,105,10869,8453,819,489,115,117,9992,6743,658,360,68,95,7923,3992,459,285,75,55,4863,1257,220,133,60,47,1721,302,86,53,28,20,481,111,52,31,23,22,239,78483,5655,4120,884,1068,90209
LGA23350,75,19,3,504,411,55,79,20,10,575,445,62,82,19,8,617,412,64,94,31,14,611,349,49,87,34,9,527,103,38,63,44,11,256,27,10,46,30,4,118,10,11,23,26,6,76,3404,399,658,249,83,4795
LGA23430,600,116,56,8161,6927,994,632,119,68,8740,6235,958,577,113,71,7950,5284,776,484,101,70,6709,3465,624,401,68,47,4602,1454,365,251,80,41,2187,393,165,103,49,20,728,142,97,60,39,18,355,60957,6192,4462,940,663,73211
LGA23670,449,89,66,7340,6453,776,531,110,53,7926,6010,796,494,83,71,7460,5065,723,472,91,50,6403,3391,483,361,75,49,4365,1285,287,228,55,25,1884,305,135,83,42,24,585,131,58,48,40,13,288,56559,4941,3900,831,610,66838
LGA23810,173,31,25,2917,2661,201,170,32,34,3098,2765,189,174,36,28,3180,2530,197,169,37,44,2971,1575,146,179,46,31,1978,551,105,94,35,12,801,144,19,55,21,17,260,62,19,49,26,14,164,24533,1375,1477,345,317,28046
LGA23940,45,17,7,246,205,26,63,25,10,324,189,28,62,24,6,306,191,37,86,36,3,360,139,35,71,47,3,299,45,20,47,41,3,158,13,13,26,32,5,89,12,11,24,20,5,69,1570,235,495,277,57,2643
LGA24130,206,31,8,1382,1116,242,196,36,21,1611,1071,211,184,41,13,1525,912,157,205,45,18,1340,603,129,157,47,23,955,244,106,126,52,18,542,72,45,74,42,4,239,22,19,34,26,0,106,9714,1312,1532,415,180,13147
LGA24210,259,64,17,2821,2216,491,348,71,22,3143,2154,480,367,87,29,3113,1796,408,305,64,19,2591,1228,291,241,49,15,1817,565,199,166,48,10,984,193,122,79,31,7,437,84,70,75,31,8,271,22752,3147,2545,632,252,29330
LGA24250,52,9,13,322,221,43,66,6,3,351,256,53,58,11,4,382,267,49,61,29,8,416,193,32,66,28,4,324,87,22,42,39,0,188,19,14,25,17,0,75,10,4,9,23,0,49,2210,315,453,191,40,3214
LGA24330,318,47,42,4137,3307,350,316,49,37,4057,2997,324,272,54,46,3691,2636,248,222,40,30,3179,1723,156,156,28,9,2072,614,92,75,14,20,819,158,36,29,12,11,248,58,12,7,13,0,97,32341,2283,2257,395,390,37665
LGA24410,335,61,30,4625,3870,494,358,70,41,4835,3726,529,410,72,42,4784,3215,429,338,59,39,4082,2096,341,270,46,28,2785,823,221,153,43,18,1266,259,99,73,26,13,470,80,34,40,19,18,195,35626,3383,2836,561,368,42780
LGA24600,1421,181,275,52274,40956,2215,1510,172,280,45130,32796,1994,1271,176,243,36474,25133,1532,1119,156,231,28172,14829,1092,851,122,174,17069,5764,720,616,94,100,7302,1566,321,276,83,53,2306,632,136,188,80,112,1150,406769,14529,10960,1694,2934,436884
LGA24650,309,57,26,2934,2046,281,266,54,32,2681,1814,252,189,64,32,2352,1411,184,175,35,11,1813,966,101,131,34,25,1265,321,61,77,17,11,488,72,24,17,14,6,138,35,9,21,6,4,71,20170,2020,1966,447,300,24909
LGA24780,171,41,30,2031,1702,227,180,70,28,2215,1542,205,200,85,36,2073,1462,196,217,111,23,2003,978,151,183,81,34,1429,370,98,126,62,12,664,86,47,56,43,7,239,36,17,32,40,9,140,15381,1412,1569,671,285,19322
LGA24850,113,25,22,1132,925,122,105,14,28,1194,925,113,106,24,21,1190,845,88,107,30,18,1089,543,87,110,35,15,787,212,49,70,28,11,369,57,19,36,21,4,136,29,10,15,23,10,82,8870,758,883,275,208,10991
LGA24900,123,41,20,1066,822,157,138,55,15,1182,847,139,150,58,16,1208,791,128,166,65,17,1165,571,101,137,68,22,892,224,65,92,56,14,450,58,22,28,44,8,156,24,18,32,44,6,129,7800,895,1149,519,173,10542
LGA24970,538,156,73,12395,10686,989,628,130,92,12519,9440,919,579,114,64,11115,7750,718,529,105,70,9179,5059,571,397,84,55,6166,1940,324,269,67,35,2635,523,143,144,37,26,865,199,71,80,39,34,428,92353,6155,4512,1051,784,104862
LGA25060,376,76,37,3973,3016,532,331,78,41,4004,2798,490,318,75,60,3728,2279,407,286,69,42,3078,1482,306,254,47,28,2123,552,164,136,37,23,900,168,59,45,23,8,310,65,34,43,25,10,174,29666,3291,2775,596,398,36722
LGA25150,75,29,10,691,534,114,78,22,8,766,511,91,101,34,10,745,410,109,91,33,7,646,287,69,69,35,6,464,108,42,42,27,7,227,32,21,36,30,3,119,12,12,20,23,4,66,4798,728,689,287,101,6600
LGA25250,623,73,61,4292,3090,531,531,92,33,4281,2930,500,449,70,48,4002,2479,385,348,64,45,3321,1636,253,271,36,31,2226,644,175,138,38,18,1019,184,55,57,21,14,339,86,42,33,21,14,189,30449,3533,4194,647,472,39293
LGA25340,682,142,62,5381,4046,848,746,126,55,5811,3710,764,716,113,67,5370,3377,665,624,127,50,4836,2258,529,527,113,53,3468,1019,366,364,109,38,1899,311,155,187,87,30,769,122,75,84,68,28,377,37512,5069,5227,1084,573,49461
LGA25430,105,23,3,681,604,61,111,9,16,802,613,66,147,16,11,853,604,70,129,21,3,828,461,47,148,28,10,685,122,41,72,33,5,272,38,17,30,16,3,100,24,15,34,21,3,96,5253,413,906,200,100,6878
LGA25490,105,28,13,578,432,54,121,32,12,650,397,67,133,41,11,649,409,57,158,39,7,676,260,42,137,38,9,491,90,31,91,40,5,263,18,15,32,31,4,103,9,11,41,41,0,100,4001,443,989,336,75,5851
LGA25620,66,11,4,419,304,71,73,18,8,477,318,77,75,19,13,501,323,64,92,25,8,516,231,42,65,33,4,372,85,31,66,42,3,227,30,16,38,35,4,124,17,13,40,33,6,101,2770,419,604,237,64,4096
LGA25710,220,40,18,1400,941,305,220,32,13,1509,847,298,234,38,12,1433,801,302,221,46,6,1376,548,227,146,44,11,973,235,123,117,34,11,522,78,65,41,28,6,217,26,22,24,13,0,81,9261,1889,1700,326,126,13305
LGA25810,43,8,3,447,437,39,54,19,8,551,436,52,63,22,9,580,398,45,68,35,11,561,294,52,69,34,7,455,101,28,55,32,3,220,34,20,23,15,3,93,11,5,19,24,4,60,3758,327,476,236,75,4868
LGA25900,591,84,59,8636,5958,1025,522,82,57,7641,4598,892,524,61,43,6127,3569,704,403,68,52,4801,2234,554,308,69,34,3204,993,345,215,53,19,1630,285,135,89,36,15,562,122,85,45,27,17,298,63838,6428,4283,722,562,75840
LGA25990,29,17,4,222,146,19,33,19,3,228,168,23,37,18,5,256,162,36,33,23,10,262,120,20,37,29,3,201,49,14,27,29,0,130,7,9,21,16,3,58,3,3,14,21,6,35,1294,185,272,219,46,2005
LGA26080,16,0,0,134,112,22,10,3,0,151,120,11,26,4,3,167,115,23,13,7,3,165,83,17,28,0,0,126,31,16,13,6,3,70,13,8,7,0,0,28,3,0,3,0,0,12,973,114,139,34,12,1279
LGA26170,165,35,23,1059,832,112,191,59,12,1200,859,120,238,53,14,1287,808,106,264,58,15,1242,569,94,203,73,13,959,201,78,172,81,9,533,59,38,80,44,6,233,21,18,74,44,11,172,7344,795,1762,535,142,10577
LGA26260,92,22,10,692,626,55,82,21,14,798,624,58,116,44,10,855,563,66,151,51,16,855,414,56,160,61,10,707,147,34,104,54,14,349,58,13,53,32,5,154,12,11,42,39,5,110,5221,414,995,394,118,7137
LGA26350,475,82,34,5151,3717,809,489,106,40,5159,3189,716,500,85,42,4529,2633,618,415,81,43,3789,1838,493,307,80,27,2748,854,370,271,67,25,1577,299,182,133,38,16,672,138,104,73,53,21,398,44426,5305,4035,821,470,55061
LGA26430,37,16,3,283,238,35,38,16,4,337,277,36,76,19,6,423,284,48,72,22,4,429,224,46,87,40,13,414,100,30,78,43,0,248,18,6,33,43,4,105,11,15,38,36,7,107,2348,294,547,271,72,3533
LGA26490,169,38,15,970,597,160,159,27,8,957,571,160,151,44,12,935,516,121,155,41,12,847,338,90,121,41,7,595,138,74,95,45,6,360,41,26,45,30,3,151,14,6,23,30,4,73,6241,994,1226,369,104,8932
LGA26610,79,27,10,807,705,81,82,40,20,925,733,106,97,52,24,1001,694,110,102,46,18,973,464,109,92,38,24,727,156,47,52,49,11,322,40,22,24,16,0,111,26,11,21,24,7,87,6815,725,743,391,175,8852
LGA26670,29,8,4,168,131,20,35,12,3,202,140,28,52,18,0,238,166,31,59,24,3,286,103,33,63,29,3,228,40,23,60,41,3,164,7,11,40,19,0,86,3,8,31,20,0,66,1183,182,428,181,36,2015
LGA26700,114,30,18,1177,974,112,117,28,10,1246,984,135,152,28,21,1318,880,130,161,38,15,1231,595,98,148,46,14,902,223,68,105,57,7,455,58,20,56,29,11,170,31,9,57,39,13,151,8824,838,1164,377,183,11383
LGA26730,114,24,16,1379,1202,138,145,22,8,1515,1084,139,124,22,15,1391,914,107,127,24,19,1190,643,64,105,11,19,836,232,43,68,12,3,365,58,18,15,5,3,98,18,3,18,14,5,50,10911,783,984,170,160,13000
LGA26810,196,37,33,1643,1456,121,171,49,16,1806,1464,134,209,47,26,1874,1405,114,260,72,27,1880,975,111,237,84,25,1432,321,77,180,68,16,662,87,30,75,53,7,255,40,14,70,44,12,181,13405,901,1813,560,242,16934
LGA26890,31,12,0,144,92,23,42,23,4,182,106,14,64,29,4,222,93,12,52,31,7,193,71,13,57,34,3,177,30,14,44,31,3,111,16,0,27,18,3,60,6,6,23,26,6,64,856,127,413,247,31,1677
LGA26980,507,99,60,7661,6645,813,536,136,50,8182,6024,749,485,94,46,7395,5265,616,480,74,42,6471,3410,405,387,59,39,4305,1433,272,223,60,27,2018,452,130,134,33,23,766,149,57,71,32,29,342,59577,4938,4015,858,522,69914
LGA27070,472,95,70,6176,4923,647,430,68,86,6156,4500,563,381,88,64,5597,3785,480,307,59,51,4677,2302,342,213,45,43,2950,835,154,107,47,29,1172,206,87,48,20,12,376,70,45,37,26,12,188,46184,4197,3301,700,668,55053
LGA27170,103,30,15,1985,1771,142,132,14,29,2088,1648,154,110,19,17,1949,1457,134,135,15,18,1764,936,107,111,32,8,1196,284,57,51,20,6,418,73,25,26,16,5,141,25,10,11,15,5,62,15902,962,1007,203,161,18245
LGA27260,578,95,84,7446,5729,602,497,97,75,7002,5132,523,365,77,87,6183,4039,434,326,66,61,4922,2412,289,232,65,56,3052,827,155,116,32,29,1151,206,60,38,23,5,330,72,27,14,14,9,133,53192,4144,3862,798,700,62691
LGA27350,587,75,67,8657,6138,863,572,70,61,7703,4927,688,440,63,63,6180,3878,623,409,72,44,5031,2552,441,279,56,47,3382,1069,295,258,50,25,1695,320,140,119,31,24,629,124,56,60,26,18,278,69346,5781,4686,637,681,81129
LGA27450,524,83,32,4173,3178,567,570,98,41,4464,3072,573,590,117,60,4421,2635,531,543,144,48,3903,1850,397,481,118,43,2883,710,261,308,99,29,1404,204,99,135,67,16,524,75,41,62,74,25,280,29987,3811,4391,989,462,39636
LGA27630,44,13,4,219,180,33,41,15,3,276,194,45,40,31,5,319,236,49,56,46,0,385,147,34,37,29,4,256,51,10,40,32,0,131,11,9,19,28,0,66,9,11,26,22,0,73,1623,275,363,260,35,2560
LGA29090,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA29399,9,0,3,157,90,9,10,0,7,118,110,15,6,0,0,135,98,6,15,3,5,123,77,10,9,8,0,104,37,9,7,3,0,52,13,0,10,0,0,28,0,0,0,0,0,9,1929,100,84,22,26,2161
LGA29499,4215,136,244,13092,6247,2413,4531,202,251,13646,5704,2136,4199,184,238,12464,4930,1751,3989,164,219,11052,3281,1107,2869,147,176,7571,1467,522,1268,98,78,3434,490,187,429,78,55,1240,235,56,195,65,51,612,66028,15169,33979,1616,2241,119037
LGA29799,0,0,0,29,22,0,3,0,0,26,24,0,0,0,0,29,22,0,0,0,0,22,8,0,0,0,0,9,3,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,139,3,4,3,3,155
LGA29898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA30250,0,0,0,35,25,0,0,0,0,22,35,0,0,0,0,37,27,0,0,0,0,32,16,0,0,0,0,16,6,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,272,7,3,0,0,286
LGA30300,15,15,0,215,140,39,39,16,6,241,141,35,31,26,8,237,130,34,21,18,4,214,94,27,39,22,3,177,49,13,19,19,0,98,10,5,14,13,0,45,5,5,11,11,5,40,1427,239,238,172,27,2108
LGA30370,55,20,3,665,527,47,57,25,8,669,485,41,57,37,11,627,378,32,74,44,15,542,241,22,83,33,5,377,91,18,44,25,0,181,23,10,25,30,6,87,9,3,20,25,0,66,4644,285,555,290,69,5843
LGA30410,12,7,3,137,107,22,27,21,0,177,115,15,13,19,3,163,84,13,35,18,0,153,70,8,18,21,4,123,28,7,15,15,3,66,15,3,3,5,0,33,4,4,7,11,0,33,990,102,203,143,20,1455
