LGA_CODE_2016,Tot_Mng,Tot_Pro,Tot_Tech_trds_wks,Tot_Com_persl_svce_wks,Tot_Cler_admin_wks,Tot_Sales_wks,Tot_Mach_ops_dvrs,Tot_Labourers,Tot_IDNS,Tot_Tot
LGA55600,303,137,144,103,139,93,96,124,14,1157
LGA55670,82,26,24,22,20,14,32,29,9,255
LGA55740,266,695,216,554,241,188,28,169,37,2397
LGA55810,22,28,55,12,18,11,38,23,10,213
LGA55880,153,15,21,11,13,12,19,21,12,278
LGA55950,97,18,32,12,20,13,21,31,0,255
LGA56090,938,1569,1338,1284,1038,842,547,1061,172,8788
LGA56160,14,5,3,9,4,0,0,0,0,40
LGA56230,627,671,1295,423,484,363,790,643,124,5415
LGA56300,135,56,52,43,28,33,34,74,16,470
LGA56370,147,42,44,19,30,24,24,56,8,395
LGA56460,337,479,296,311,278,195,128,281,39,2339
LGA56580,1733,8767,2060,2595,2842,593,420,1053,314,20379
LGA56620,24,51,17,71,17,10,11,24,10,231
LGA56730,578,795,577,589,609,372,302,472,75,4361
LGA56790,251,69,93,60,83,60,87,104,14,811
LGA56860,35,3,3,3,5,3,5,10,0,71
LGA56930,120,382,116,157,135,112,12,87,14,1130
LGA57000,124,76,252,20,47,17,225,79,13,846
LGA57080,19443,47569,9957,8264,27128,6145,2249,5130,2361,128253
LGA57140,123,36,38,23,33,18,24,43,3,340
LGA57210,508,175,248,156,170,107,139,485,24,2019
LGA57280,576,934,1476,548,667,347,939,664,129,6286
LGA57350,136,33,33,37,32,20,31,37,0,355
LGA57420,168,49,81,35,49,32,68,67,9,559
LGA57490,3033,5254,4458,4932,3173,4321,1341,3098,471,30091
LGA57630,3,4,3,3,3,0,7,3,0,22
LGA57700,603,632,770,557,536,287,458,676,60,4569
LGA57770,49,42,60,32,27,22,30,43,6,305
LGA57840,1548,3928,1478,1869,1795,996,206,898,196,12914
LGA57910,9357,15769,11251,8088,11355,8964,2994,6484,1119,75381
LGA57980,3402,11250,2462,2673,3999,1628,715,1323,336,27793
LGA58050,6687,8506,9680,5951,7298,5858,5623,5858,904,56371
LGA58190,66,10,18,7,8,5,10,46,7,170
LGA58260,13,11,19,12,13,10,11,13,3,119
LGA58330,190,85,123,77,100,80,74,104,19,858
LGA58400,62,11,12,15,10,4,8,20,0,154
LGA58470,5,11,3,6,3,0,4,7,0,40
LGA58510,3326,7090,3777,4682,3686,1653,1027,2309,369,27910
LGA58540,216,19,45,23,29,21,44,72,5,475
LGA58570,2892,5665,2568,2658,3222,1769,528,1259,287,20856
LGA58610,178,75,82,66,62,51,70,83,18,688
LGA58680,88,4,11,5,12,0,14,22,3,157
LGA58760,5052,6151,8292,4946,5420,4885,3452,5197,699,44105
LGA58820,208,208,612,75,173,51,511,227,43,2111
LGA58890,210,13,29,5,32,9,25,50,8,380
LGA59030,61,22,58,10,13,0,97,26,3,290
LGA59090,0,0,0,0,0,0,0,0,0,0
LGA59100,141,20,21,18,22,17,23,28,3,296
LGA59170,210,23,40,26,37,15,30,70,11,456
LGA59250,45,108,244,24,32,5,227,87,13,787
LGA59310,202,68,109,52,75,53,60,59,13,688
LGA59320,92,9,12,3,9,8,13,50,4,190
LGA59330,75,18,18,26,22,10,19,26,3,212
LGA59340,353,531,558,343,314,123,345,261,45,2867
LGA59350,46,56,129,20,33,12,130,53,7,495
LGA59360,178,94,342,30,65,24,417,116,27,1290
LGA59370,226,126,112,138,124,93,66,124,13,1029
LGA59499,2643,4577,20738,4549,2026,2034,5905,10794,1106,54378
LGA59799,89,301,529,41,30,0,188,379,35,1595
LGA59898,0,0,0,0,0,0,0,0,0,0
LGA60210,306,206,228,223,175,181,129,231,21,1700
LGA60410,285,322,404,403,263,329,412,343,31,2792
LGA60610,945,1967,1305,1229,1603,1168,727,1168,190,10298
LGA60810,774,755,885,724,557,615,362,889,105,5661
LGA61010,193,48,100,44,41,24,61,154,18,681
LGA61210,767,293,400,297,310,235,335,889,71,3604
LGA61410,1749,2593,2230,2520,1871,1897,728,1579,238,15404
LGA61510,258,326,319,342,196,222,287,322,36,2314
LGA61610,1187,1586,1756,1525,1459,1440,863,1596,207,11619
LGA61810,423,247,217,206,198,234,132,288,42,1974
LGA62010,93,57,44,35,32,21,9,51,3,357
LGA62210,243,267,491,179,166,149,511,395,68,2474
LGA62410,305,142,213,161,132,140,62,292,25,1462
LGA62610,1923,2060,3168,2339,2447,2298,1938,2224,352,18742
LGA62810,5924,15692,4908,6109,9532,3995,894,3352,923,51337
LGA63010,689,611,574,405,425,354,280,858,72,4258
LGA63210,290,142,207,160,96,87,108,228,30,1341
LGA63410,193,68,101,58,74,42,57,165,18,766
LGA63610,1078,1650,1402,1105,870,1056,324,980,136,8594
LGA63810,426,626,420,402,346,339,249,554,50,3403
LGA64010,3524,7213,4139,4341,4923,3852,1816,2953,499,33266
LGA64210,1043,800,736,730,490,489,364,770,84,5503
LGA64610,838,398,685,379,434,435,657,887,78,4797
LGA64810,353,318,324,300,228,390,169,404,40,2533
LGA65010,303,130,119,115,81,67,84,170,21,1090
LGA65210,146,83,76,126,55,34,38,129,8,704
LGA65410,524,382,686,468,328,390,431,545,70,3819
LGA65610,200,216,382,172,136,121,360,269,48,1907
LGA65810,545,642,535,495,374,393,227,512,47,3769
LGA69090,0,0,0,0,0,0,0,0,0,0
LGA69499,790,674,2960,1049,266,353,932,1888,217,9132
LGA69799,3,10,8,3,0,0,5,23,0,55
LGA69898,0,0,0,0,0,0,0,0,0,0
LGA70200,1475,2896,1383,1872,1696,888,482,951,238,11881
LGA70420,244,397,230,360,216,81,67,349,63,2006
LGA70540,0,7,7,5,3,0,0,0,0,29
LGA70620,132,229,162,198,98,30,152,172,39,1215
LGA70700,93,126,85,75,71,18,38,72,20,607
LGA71000,6066,10866,6282,5343,7639,3746,1819,3299,897,45963
LGA71300,222,647,538,386,220,99,422,237,157,2933
LGA72200,571,819,766,683,558,257,233,409,81,4376
LGA72300,1599,1788,4509,2207,1365,437,1507,1894,359,15659
LGA72330,249,596,317,475,205,70,149,267,93,2422
LGA72800,867,1169,1272,991,1043,890,358,677,121,7396
LGA73600,166,318,171,241,100,67,108,260,104,1539
LGA74050,57,138,47,110,47,31,19,74,49,567
LGA74550,94,143,80,105,47,26,37,107,48,678
LGA74560,9,8,10,3,7,4,5,3,0,46
LGA74660,148,367,175,244,143,74,89,160,97,1505
LGA74680,57,152,76,107,41,34,33,90,29,620
LGA79090,0,0,0,0,0,0,0,0,0,0
LGA79399,808,916,1361,726,773,269,830,718,132,6534
LGA79499,234,367,1310,292,186,114,362,690,122,3674
LGA79799,8,19,31,0,0,0,4,25,3,91
LGA79898,0,0,0,0,0,0,0,0,0,0
LGA89090,0,0,0,0,0,0,0,0,0,0
LGA89399,36207,67771,18787,23026,39535,14959,4730,10056,5577,220639
LGA89499,480,850,2532,762,294,272,401,1050,178,6817
LGA89799,0,0,0,0,0,0,0,0,0,0
LGA89898,0,0,0,0,0,0,0,0,0,0
LGA99090,0,0,0,0,0,0,0,0,0,0
LGA99399,469,393,435,410,291,134,165,319,76,2692
LGA99499,26,33,18,3,7,3,3,6,9,118
LGA99799,0,0,0,0,0,0,0,0,0,0
LGA99898,0,0,0,0,0,0,0,0,0,0
