LGA_CODE_2016,UIE_IDNS_OMOE_Nil_em,UIE_IDNS_OMOE_1_19_em,UIE_IDNS_OMOE_20more_em,UIE_IDNS_OMOE_NE_NS,UIE_IDNS_Tot,UIE_Tot_OMOE_Nil_em,UIE_Tot_OMOE_1_19_em,UIE_Tot_OMOE_20more_em,UIE_Tot_OMOE_NE_NS,UIE_Tot_Tot
LGA59340,4,0,0,0,8,69,42,0,4,113
LGA59350,0,0,0,0,0,14,3,0,0,12
LGA59360,0,0,0,0,0,48,32,0,0,82
LGA59370,6,3,0,0,10,96,58,0,3,158
LGA59499,558,48,0,8,616,13867,2145,26,218,16258
LGA59799,3,0,0,0,3,16,6,0,0,23
LGA59898,0,0,0,0,0,0,0,0,0,0
LGA60210,10,0,0,0,11,196,73,0,5,270
LGA60410,0,0,0,0,8,184,81,0,3,266
LGA60610,16,7,0,0,27,273,160,3,3,437
LGA60810,8,8,0,0,21,408,183,5,18,607
LGA61010,3,0,0,0,3,51,51,0,5,109
LGA61210,10,7,0,0,16,214,177,3,6,403
LGA61410,35,11,0,0,47,990,331,13,19,1360
LGA61510,5,3,0,0,12,154,67,3,4,231
LGA61610,14,4,0,0,18,430,201,3,11,647
LGA61810,0,3,0,0,7,161,108,0,5,272
LGA62010,0,0,0,0,0,50,19,0,0,65
LGA62210,9,0,0,0,9,98,29,4,6,131
LGA62410,0,0,0,0,3,126,71,0,8,208
LGA62610,47,20,0,0,68,837,318,16,11,1174
LGA62810,83,24,0,3,114,1966,702,85,18,2773
LGA63010,6,0,0,0,9,482,149,5,14,649
LGA63210,3,0,0,0,5,159,46,0,3,206
LGA63410,7,0,0,0,7,90,31,0,3,120
LGA63610,41,8,0,3,45,923,229,3,15,1168
LGA63810,15,3,0,0,13,228,84,4,3,318
LGA64010,45,17,0,0,60,1289,599,49,35,1975
LGA64210,16,7,0,0,23,493,216,5,17,728
LGA64610,11,0,0,0,9,290,109,6,6,420
LGA64810,11,4,0,0,17,335,97,3,7,439
LGA65010,10,0,0,0,9,158,89,0,3,251
LGA65210,3,0,0,0,6,80,35,0,0,122
LGA65410,14,4,0,0,16,233,123,3,9,369
LGA65610,4,0,0,0,4,53,26,0,0,78
LGA65810,12,0,0,0,17,427,147,3,19,591
LGA69090,0,0,0,0,0,0,0,0,0,0
LGA69499,80,10,0,3,90,2397,362,3,56,2815
LGA69799,0,0,0,0,0,0,0,0,0,0
LGA69898,0,0,0,0,0,0,0,0,0,0
LGA70200,18,0,0,0,23,388,134,10,21,548
LGA70420,7,0,0,0,6,43,10,0,3,58
LGA70540,0,0,0,0,0,0,0,0,0,0
LGA70620,0,0,0,0,3,12,6,0,3,17
LGA70700,0,0,0,0,0,37,8,0,3,41
LGA71000,76,26,0,3,100,1404,457,34,34,1933
LGA71300,3,0,0,0,3,26,8,0,0,35
LGA72200,3,0,0,0,3,129,33,0,4,170
LGA72300,19,0,0,3,24,477,105,3,16,601
LGA72330,0,0,0,0,0,26,16,0,3,45
LGA72800,19,3,0,0,27,343,111,0,3,457
LGA73600,9,0,0,0,9,37,9,0,3,48
LGA74050,0,0,0,0,0,0,4,0,0,9
LGA74550,0,0,0,0,0,19,4,0,0,27
LGA74560,0,0,0,0,0,7,5,0,0,16
LGA74660,0,0,0,0,0,10,8,0,3,22
LGA74680,0,0,0,0,0,11,4,0,0,12
LGA79090,0,0,0,0,0,0,0,0,0,0
LGA79399,4,0,0,0,4,124,26,6,9,160
LGA79499,27,5,0,0,29,627,98,0,13,736
LGA79799,0,0,0,0,0,5,0,0,0,4
LGA79898,0,0,0,0,0,0,0,0,0,0
LGA89090,0,0,0,0,0,0,0,0,0,0
LGA89399,280,43,5,4,334,5908,1547,194,63,7720
LGA89499,43,7,0,0,45,1347,171,4,11,1533
LGA89799,0,0,0,0,0,0,0,0,0,0
LGA89898,0,0,0,0,0,0,0,0,0,0
LGA99090,0,0,0,0,0,0,0,0,0,0
LGA99399,7,0,0,0,8,159,96,0,9,272
LGA99499,0,0,0,0,0,5,5,0,0,11
LGA99799,0,0,0,0,0,0,0,0,0,0
LGA99898,0,0,0,0,0,0,0,0,0,0
