SA2_MAINCODE_2016,P_1_149_OM_UIE,P_1_149_CFW,P_1_149_ES_NS,P_1_149_Tot,P_150_299_E,P_150_299_OM_IE,P_150_299_OM_UIE,P_150_299_CFW,P_150_299_ES_NS,P_150_299_Tot,P_300_399_E,P_300_399_OM_IE,P_300_399_OM_UIE,P_300_399_CFW,P_300_399_ES_NS,P_300_399_Tot,P_400_499_E,P_400_499_OM_IE,P_400_499_OM_UIE,P_400_499_CFW,P_400_499_ES_NS,P_400_499_Tot,P_500_649_E,P_500_649_OM_IE,P_500_649_OM_UIE,P_500_649_CFW,P_500_649_ES_NS,P_500_649_Tot,P_650_799_E,P_650_799_OM_IE,P_650_799_OM_UIE,P_650_799_CFW,P_650_799_ES_NS,P_650_799_Tot,P_800_999_E,P_800_999_OM_IE,P_800_999_OM_UIE,P_800_999_CFW,P_800_999_ES_NS,P_800_999_Tot,P_1000_1249_E,P_1000_1249_OM_IE,P_1000_1249_OM_UIE,P_1000_1249_CFW,P_1000_1249_ES_NS,P_1000_1249_Tot,P_1250_1499_E,P_1250_1499_OM_IE,P_1250_1499_OM_UIE,P_1250_1499_CFW,P_1250_1499_ES_NS,P_1250_1499_Tot,P_1500_1749_E,P_1500_1749_OM_IE,P_1500_1749_OM_UIE,P_1500_1749_CFW,P_1500_1749_ES_NS,P_1500_1749_Tot,P_1750_1999_E,P_1750_1999_OM_IE,P_1750_1999_OM_UIE,P_1750_1999_CFW,P_1750_1999_ES_NS,P_1750_1999_Tot,P_2000_2999_E,P_2000_2999_OM_IE,P_2000_2999_OM_UIE,P_2000_2999_CFW,P_2000_2999_ES_NS,P_2000_2999_Tot,P_3000mor_E,P_3000mor_OM_IE,P_3000mor_OM_UIE,P_3000mor_CFW,P_3000mor_ES_NS,P_3000mor_Tot,P_PersInc_NS_E,P_PersInc_NS_OM_IE,P_PersInc_NS_OM_UIE,P_PersInc_NS_CFW,P_PersInc_NS_ES_NS,P_PersInc_NS_Tot,P_Tot_E,P_Tot_OM_IE,P_Tot_OM_UIE,P_Tot_CFW,P_Tot_ES_NS,P_Tot_Tot
701021024,0,0,0,10,3,0,0,0,0,12,5,0,3,0,0,10,12,4,0,0,0,10,12,0,3,0,0,19,16,0,0,0,0,21,16,0,4,0,0,21,20,0,5,0,0,29,24,0,0,0,0,21,21,3,6,0,0,29,40,0,0,0,0,40,16,4,6,0,0,26,3,0,0,0,0,8,3,0,0,0,3,4,200,11,36,3,3,251
701021025,4,0,0,46,24,4,3,0,0,38,32,3,3,0,0,36,31,0,7,3,3,44,61,0,9,0,5,80,83,12,12,0,0,100,105,3,9,0,0,116,93,10,14,0,0,118,51,6,9,0,0,73,61,10,5,0,0,75,41,9,0,0,0,51,33,7,7,3,3,53,18,4,7,0,0,31,12,0,0,0,0,19,699,65,89,14,15,877
701021026,3,0,0,13,11,0,5,0,0,15,17,0,3,0,0,16,21,3,0,5,0,25,21,0,5,0,0,32,37,0,3,0,0,42,46,6,3,0,0,55,54,0,5,0,0,63,43,3,10,0,0,52,41,3,7,0,0,48,27,3,4,0,0,38,36,11,7,0,0,48,11,0,0,0,0,14,5,0,0,0,0,3,376,26,57,7,4,471
701021027,0,0,4,36,25,0,0,0,0,29,37,0,0,0,0,41,69,0,4,0,0,72,129,0,7,0,3,141,204,10,0,4,3,222,393,3,3,0,3,404,581,0,6,0,10,594,524,3,9,0,5,541,545,0,10,0,0,560,438,3,0,0,4,444,487,5,5,0,3,505,201,8,17,0,4,231,54,0,0,0,3,57,3724,36,64,11,43,3875
701021028,0,0,0,3,12,3,0,3,0,12,3,0,3,0,0,7,11,0,0,0,0,11,17,0,0,0,0,15,15,0,3,0,0,24,20,4,12,0,0,34,33,4,0,0,0,38,27,0,0,0,0,28,5,0,5,0,0,10,8,0,0,0,0,15,12,0,0,0,0,13,4,3,0,0,0,5,10,0,0,0,0,10,182,13,21,4,3,222
701021029,0,0,0,8,6,0,0,0,0,8,11,0,3,0,0,11,15,0,3,0,0,18,23,0,3,0,0,26,30,0,4,0,0,39,32,6,3,0,0,42,43,0,9,0,0,48,25,0,0,0,0,27,27,3,5,0,0,34,22,3,0,0,0,30,15,5,4,0,0,28,3,4,4,0,0,9,5,0,0,0,0,7,273,17,40,6,4,336
701021030,0,0,0,6,0,0,0,0,0,3,0,0,3,0,0,6,0,0,0,0,0,6,19,0,3,0,0,26,18,0,0,0,0,18,16,0,6,0,0,22,20,4,5,0,0,23,30,0,7,0,0,34,23,3,0,0,0,26,15,0,0,0,0,18,18,0,0,0,0,21,3,7,0,0,0,6,5,0,0,0,0,14,181,17,27,3,3,227
701031031,0,0,0,34,20,3,6,3,0,30,35,0,6,0,0,37,38,5,10,0,3,56,104,3,6,0,3,116,180,7,7,0,3,198,448,11,8,0,3,480,767,6,13,3,5,793,871,8,12,3,0,891,747,16,3,4,4,776,460,12,4,0,4,475,539,25,8,0,3,574,127,23,8,0,0,157,60,3,3,0,7,71,4430,119,100,20,36,4704
701031032,9,3,0,42,43,4,18,4,0,68,46,0,5,4,0,57,54,3,25,0,0,84,86,4,31,4,0,125,87,20,27,13,0,147,123,11,29,3,0,166,129,15,19,9,3,169,122,18,16,3,4,159,72,27,17,0,0,114,78,7,7,0,0,99,73,21,15,0,4,104,20,9,14,0,0,38,20,3,6,3,0,28,969,152,230,59,22,1428
701031033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,9,0,0,0,0,15,32,0,0,0,0,32,81,0,0,0,0,85,94,0,0,0,0,98,79,0,0,0,0,79,35,0,0,0,0,35,33,0,0,0,0,33,4,0,0,0,0,4,5,0,0,0,0,5,381,0,4,0,3,388
