SA3_CODE_2016,P_40_44_OM_UIE,P_40_44_CFW,P_40_44_ES_NS,P_40_44_Total,P_45_49_E,P_45_49_OM_IE,P_45_49_OM_UIE,P_45_49_CFW,P_45_49_ES_NS,P_45_49_Total,P_50_54_E,P_50_54_OM_IE,P_50_54_OM_UIE,P_50_54_CFW,P_50_54_ES_NS,P_50_54_Total,P_55_59_E,P_55_59_OM_IE,P_55_59_OM_UIE,P_55_59_CFW,P_55_59_ES_NS,P_55_59_Total,P_60_64_E,P_60_64_OM_IE,P_60_64_OM_UIE,P_60_64_CFW,P_60_64_ES_NS,P_60_64_Total,P_65_69_E,P_65_69_OM_IE,P_65_69_OM_UIE,P_65_69_CFW,P_65_69_ES_NS,P_65_69_Total,P_70_74_E,P_70_74_OM_IE,P_70_74_OM_UIE,P_70_74_CFW,P_70_74_ES_NS,P_70_74_Total,P_75ov_E,P_75ov_OM_IE,P_75ov_OM_UIE,P_75ov_CFW,P_75ov_ES_NS,P_75ov_Total,P_Total_E,P_Total_OM_IE,P_Total_OM_UIE,P_Total_CFW,P_Total_ES_NS,P_Total_Total
10903,201,59,22,1591,1229,194,208,65,32,1723,1324,198,206,83,21,1831,1371,205,235,111,48,1971,979,143,240,120,40,1516,364,95,163,80,27,726,127,56,79,80,11,354,51,38,64,84,9,245,11687,1339,1719,845,305,15892
11001,158,50,12,1515,1279,120,191,32,14,1640,1347,151,231,56,19,1809,1212,130,217,78,19,1658,749,98,240,73,16,1176,278,58,179,100,17,632,95,34,102,77,9,317,33,19,62,87,12,215,12069,865,1694,639,178,15451
11002,169,76,27,1322,1087,88,216,86,26,1499,1052,105,228,102,29,1523,1051,112,312,122,25,1627,674,75,236,137,37,1162,249,63,215,118,24,667,75,37,147,129,12,404,40,33,87,139,23,319,9371,689,1960,1048,278,13346
11003,152,38,12,1133,839,107,135,38,17,1136,929,108,170,55,19,1279,792,144,163,72,22,1196,541,89,151,71,23,870,219,78,103,72,15,478,69,30,55,37,14,203,27,21,46,53,13,153,8271,816,1238,506,198,11027
11004,318,54,50,3499,2993,234,352,80,39,3695,2859,276,416,111,38,3694,2651,233,425,135,52,3490,1725,224,403,179,52,2575,643,122,245,144,28,1188,188,58,146,104,15,511,76,32,121,110,30,361,27386,1798,3064,1067,486,33799
11101,369,55,30,4267,3463,430,401,55,33,4382,3223,411,367,63,41,4104,2801,341,351,56,31,3580,1715,252,259,49,31,2307,533,149,151,51,8,898,156,66,63,34,11,324,52,37,31,22,14,153,33892,2739,2852,482,333,40300
11102,200,34,22,1924,1509,164,193,32,21,1920,1591,181,203,31,30,2031,1525,182,186,32,25,1945,982,128,162,35,18,1326,330,84,108,27,10,563,94,31,40,26,7,204,34,15,10,16,3,81,14276,1237,1560,310,196,17577
11103,596,69,67,11155,9854,703,604,79,68,11306,9491,637,545,84,67,10827,8340,547,537,77,84,9584,4749,383,403,56,58,5656,1478,205,215,69,30,2004,359,89,109,34,28,615,166,46,59,50,29,355,87886,4377,4577,681,700,98220
11201,550,82,50,3349,2294,388,636,67,42,3424,2286,387,637,77,50,3427,2323,294,633,85,56,3400,1493,288,577,92,42,2489,542,151,304,84,29,1119,141,56,134,51,19,404,58,34,85,54,20,249,20770,2445,4616,736,474,29042
11202,307,53,36,2973,2698,172,361,59,39,3328,2832,166,465,77,52,3585,2782,196,432,101,39,3549,1909,150,422,102,43,2618,653,88,262,125,33,1154,162,39,143,62,19,415,47,19,106,99,30,308,23142,1208,3052,793,386,28582
11203,390,72,32,2947,2383,278,405,64,34,3164,2423,294,430,68,33,3249,2413,276,454,76,44,3270,1580,191,348,67,34,2227,550,117,222,65,20,974,140,60,73,45,18,331,66,12,76,44,16,221,20806,2017,3172,647,360,26997
11301,184,57,27,2187,1826,214,193,72,26,2330,1786,217,267,114,31,2416,1596,223,267,108,41,2232,1044,154,216,84,27,1538,380,99,160,96,27,758,106,49,74,74,7,299,46,23,76,80,21,242,16717,1483,1881,827,305,21213
11302,49,11,14,632,507,36,61,14,16,636,576,52,58,25,10,731,558,45,90,31,6,731,336,45,100,35,11,521,108,27,87,33,10,264,38,10,40,30,0,123,11,6,30,34,8,97,4539,333,638,253,120,5889
11303,370,68,46,4110,3358,285,421,80,46,4190,3241,308,476,119,50,4196,3051,257,474,146,44,3977,1940,227,403,136,47,2759,699,123,282,151,32,1293,205,49,157,107,20,535,77,25,124,143,23,390,33494,2103,3593,1157,493,40838
11401,392,67,42,3588,2945,288,422,65,47,3771,3076,309,537,72,46,4035,2993,352,491,87,46,3973,1808,221,421,96,44,2587,641,137,244,78,29,1125,157,59,106,58,19,403,47,41,53,36,24,206,27154,2210,3512,692,487,34050
11402,277,44,26,1806,1440,256,273,47,15,2036,1465,262,296,45,26,2094,1337,251,270,55,21,1933,886,208,242,61,17,1409,435,159,191,58,20,862,160,88,107,52,17,419,63,63,73,52,12,253,13237,1757,2195,496,236,17922
11501,489,108,38,7128,5276,766,483,82,48,6657,4728,798,486,85,42,6143,3911,626,429,85,50,5097,2491,514,341,73,32,3460,1084,349,242,51,33,1756,272,137,99,38,15,564,114,46,42,38,11,258,50254,5239,3617,740,471,60322
11502,123,35,4,1039,764,225,141,23,8,1161,703,267,155,28,15,1168,649,172,139,40,7,1003,398,154,120,36,7,713,191,115,90,27,7,425,85,58,37,29,0,204,21,35,43,25,9,124,7144,1494,1112,295,92,10139
